mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
59136.35	18.48	0.01	1.97e-16	2.53e-18
59136.35	18.47	0.01	2.01e-16	2.65e-18
59136.38	18.51	0.02	1.93e-16	2.88e-18
59137.41	18.48	0.02	1.97e-16	3.07e-18
59137.41	18.49	0.02	1.96e-16	3.40e-18
59138.37	18.54	0.02	1.87e-16	4.29e-18
59140.38	18.52	0.02	1.92e-16	3.94e-18
59142.40	18.54	0.02	1.88e-16	2.63e-18
59143.36	18.51	0.01	1.93e-16	2.62e-18
59144.36	18.53	0.01	1.89e-16	1.92e-18
59144.36	18.52	0.01	1.90e-16	1.81e-18
59145.29	18.48	0.02	1.98e-16	2.97e-18
59146.37	18.36	0.05	2.22e-16	9.42e-18
59150.38	18.44	0.06	2.05e-16	1.16e-17
59150.38	18.47	0.06	2.00e-16	1.03e-17
59155.22	18.47	0.09	1.99e-16	1.64e-17
59155.22	18.35	0.08	2.24e-16	1.60e-17
59156.38	18.47	0.11	2.00e-16	1.98e-17
59157.37	18.38	0.05	2.16e-16	9.72e-18
59157.37	18.40	0.06	2.14e-16	1.17e-17
59158.28	18.43	0.05	2.07e-16	9.85e-18
59158.28	18.41	0.05	2.10e-16	8.85e-18
59164.35	18.41	0.02	2.10e-16	4.40e-18
59165.30	18.43	0.02	2.08e-16	3.80e-18
59165.30	18.38	0.02	2.16e-16	3.62e-18
59167.32	18.44	0.03	2.05e-16	5.67e-18
59167.32	18.43	0.03	2.07e-16	5.85e-18
59168.27	18.41	0.02	2.11e-16	3.43e-18
59169.32	18.42	0.02	2.09e-16	4.58e-18
59169.32	18.36	0.02	2.20e-16	4.85e-18
59170.24	18.40	0.02	2.12e-16	3.30e-18
59171.26	18.42	0.02	2.09e-16	4.21e-18
59171.26	18.36	0.02	2.22e-16	3.44e-18
59174.26	18.44	0.04	2.05e-16	7.90e-18
59176.26	18.35	0.04	2.24e-16	7.78e-18
59178.17	18.36	0.04	2.22e-16	8.15e-18
59182.23	18.41	0.08	2.11e-16	1.51e-17
59184.20	18.28	0.07	2.37e-16	1.45e-17
59184.21	18.55	0.10	1.85e-16	1.69e-17
59184.23	18.31	0.07	2.31e-16	1.44e-17
59185.11	18.33	0.06	2.28e-16	1.25e-17
59185.30	18.35	0.06	2.23e-16	1.25e-17
59187.15	18.40	0.03	2.14e-16	6.10e-18
59187.37	18.38	0.08	2.18e-16	1.64e-17
59188.19	18.46	0.03	2.01e-16	6.32e-18
59188.19	18.42	0.03	2.10e-16	6.03e-18
59188.35	18.41	0.05	2.11e-16	1.01e-17
59189.16	18.40	0.04	2.14e-16	7.17e-18
59190.29	18.40	0.03	2.12e-16	5.15e-18
59191.23	18.09	nan	2.82e-16	nan
59192.21	18.42	0.03	2.09e-16	6.21e-18
59193.21	18.43	0.03	2.08e-16	5.58e-18
59194.19	18.51	0.03	1.92e-16	4.92e-18
59194.25	18.48	0.02	1.99e-16	4.33e-18
59195.19	18.45	0.03	2.04e-16	5.64e-18
59195.19	18.42	0.02	2.10e-16	3.76e-18
59195.24	18.44	0.02	2.05e-16	4.23e-18
59198.19	18.49	0.04	1.96e-16	6.56e-18
59199.28	18.41	0.03	2.12e-16	6.67e-18
59202.21	18.44	0.03	2.06e-16	6.15e-18
59204.23	18.38	0.03	2.18e-16	6.39e-18
59206.19	18.32	nan	2.30e-16	nan
59210.19	18.41	0.06	2.11e-16	1.22e-17
59218.20	18.45	0.03	2.03e-16	5.73e-18
59220.15	18.44	0.03	2.04e-16	5.04e-18
59222.16	18.48	0.07	1.99e-16	1.19e-17
59224.17	18.38	0.03	2.18e-16	6.44e-18
59225.13	17.78	nan	3.78e-16	nan
59226.17	18.45	0.04	2.04e-16	6.64e-18
59227.18	18.37	0.04	2.19e-16	7.65e-18
59228.17	18.34	0.04	2.26e-16	8.19e-18
59228.17	18.48	0.04	1.98e-16	7.33e-18
59230.17	18.45	0.03	2.03e-16	5.66e-18
59231.13	18.50	0.04	1.95e-16	6.95e-18
59232.20	18.37	0.03	2.19e-16	5.45e-18
59248.13	18.38	0.03	2.17e-16	6.69e-18
59250.13	18.42	0.03	2.09e-16	5.53e-18
59252.13	18.40	0.03	2.13e-16	5.38e-18
59254.13	18.40	0.02	2.14e-16	4.73e-18
