mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58699.48	18.84	0.01	7.85e-17	8.69e-19
58699.48	12.30	nan	3.25e-14	nan
58699.48	12.30	nan	3.25e-14	nan
58700.46	12.30	nan	3.26e-14	nan
58701.50	11.77	nan	5.31e-14	nan
58703.44	12.30	nan	3.26e-14	nan
58703.46	12.28	nan	3.31e-14	nan
58703.46	18.82	0.02	8.03e-17	1.19e-18
58704.46	12.32	nan	3.19e-14	nan
58705.46	12.33	nan	3.17e-14	nan
58706.50	12.33	nan	3.18e-14	nan
58706.50	18.89	0.03	7.53e-17	1.96e-18
58706.50	12.35	nan	3.12e-14	nan
58706.50	18.88	0.02	7.60e-17	1.60e-18
58706.50	12.43	nan	2.90e-14	nan
58706.50	18.80	0.02	8.14e-17	1.22e-18
58706.50	12.44	nan	2.87e-14	nan
58707.47	12.35	nan	3.10e-14	nan
58709.41	12.32	nan	3.20e-14	nan
58709.41	12.31	nan	3.22e-14	nan
58709.42	18.85	0.07	7.84e-17	4.91e-18
58710.41	12.43	nan	2.88e-14	nan
58710.41	18.81	0.06	8.11e-17	4.31e-18
58710.41	12.45	nan	2.83e-14	nan
58710.41	18.86	0.06	7.72e-17	4.22e-18
58710.42	12.35	nan	3.12e-14	nan
58711.43	12.32	nan	3.19e-14	nan
58712.42	12.32	nan	3.19e-14	nan
58712.42	12.32	nan	3.19e-14	nan
58712.44	18.86	0.06	7.76e-17	4.36e-18
58713.41	12.31	nan	3.24e-14	nan
58714.43	12.33	nan	3.17e-14	nan
58717.48	18.89	0.06	7.54e-17	4.40e-18
58717.48	12.31	nan	3.22e-14	nan
58719.41	12.41	nan	2.93e-14	nan
58719.41	18.90	0.02	7.43e-17	1.49e-18
58719.41	18.93	0.02	7.26e-17	1.64e-18
58719.41	12.42	nan	2.92e-14	nan
58720.38	12.20	nan	3.57e-14	nan
58720.39	18.92	0.03	7.30e-17	1.94e-18
58721.47	10.66	nan	1.48e-13	nan
58721.47	18.14	nan	1.50e-16	nan
